match,round,winner,reason,tick,total_kills,headshot_kills,headshot_rate,rifle_kills,awp_kills,pistol_kills,smg_kills,smoke_kills,noscope_kills,wallbang_kills,assisted_kills,avg_kill_distance,max_kill_distance,min_kill_distance,total_damage,avg_damage_per_kill,t_win,ct_win,awp_kills_log,pistol_kills_log,smg_kills_log,smoke_kills_log,wallbang_kills_log,assisted_kills_log,avg_kill_distance_log,min_kill_distance_log,total_kills_scaled,headshot_kills_scaled,headshot_rate_scaled,rifle_kills_scaled,awp_kills_scaled,pistol_kills_scaled,smg_kills_scaled,smoke_kills_scaled,noscope_kills_scaled,wallbang_kills_scaled,assisted_kills_scaled,avg_kill_distance_scaled,max_kill_distance_scaled,min_kill_distance_scaled,total_damage_scaled,avg_damage_per_kill_scaled,total_kills_norm,headshot_kills_norm,headshot_rate_norm,rifle_kills_norm,awp_kills_norm,pistol_kills_norm,smg_kills_norm,smoke_kills_norm,noscope_kills_norm,wallbang_kills_norm,assisted_kills_norm,avg_kill_distance_norm,max_kill_distance_norm,min_kill_distance_norm,total_damage_norm,avg_damage_per_kill_norm
3dmax-vs-falcons-m3-nuke,11,T,ct_killed,92231.0,7,4,0.5714285714285714,6,1,0,0,3,0,0,0,10.114200171428573,16.80542,5.190556,666,95.14285714285714,1,0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.0,0.0,2.4082235854413154,1.8230249049567466,0.36494735410922824,0.37655043638036967,0.23835128686677942,0.7973908621687053,0.17394324341464915,-0.43511614719572067,-0.4032616876259697,2.5229659077620834,0.0,-0.4566296511374095,-0.5043976220510383,-1.4278722486858593,-1.5832903496125854,-0.5857916995961505,0.5902541886101685,0.4818446131395625,0.7142857142857143,0.5,0.5714285714285714,0.75,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.03867752139694286,0.018606329118560305,0.14687981915176862,0.567926455566905,0.603877797595075
3dmax-vs-falcons-m3-nuke,12,CT,t_killed,100199.0,6,1,0.16666666666666666,3,2,1,0,1,0,0,0,11.831570083333334,17.26153,7.4042425,536,89.33333333333333,0,1,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,2.5519085470820233,2.1287366378734442,-0.22394496729429908,-1.1961013861494096,-1.2873160451901589,-0.519231259086599,1.0560839778746556,0.13698100930235652,-0.4032616876259697,0.32504468750309057,0.0,-0.4566296511374095,-0.5043976220510383,-1.0955030955608436,-1.5300397764720763,-0.10547575594578916,-0.0056165497549038775,0.23949106740204618,0.5714285714285714,0.125,0.16666666666666666,0.375,0.4,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.10130452795179329,0.03126180268371187,0.2428587774805829,0.43513789581205314,0.5477245267821184
3dmax-vs-falcons-m3-nuke,13,T,bomb_exploded,121061.0,8,8,1.0,0,0,8,0,0,0,0,0,15.7745305,23.535688,4.364455,896,112.0,1,0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,2.8198616943885755,1.6797947865796594,0.9538396755127555,2.473419533086742,1.8537637561035376,-1.835853380341903,-0.7081974910453573,4.141661104788897,-0.4032616876259697,-0.773915922626406,0.0,-0.4566296511374095,-0.5043976220510383,-0.3324069184306392,-0.7975355352273976,-0.7650354549181019,1.644487033409912,1.1850671966730117,0.8571428571428571,1.0,1.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.2450917261252017,0.20534796767150948,0.11106250109232718,0.8028600612870276,0.7668143374949657
3dmax-vs-falcons-m3-nuke,14,T,ct_killed,127469.0,7,3,0.42857142857142855,2,0,1,4,2,0,0,0,14.208418142857141,24.766558,7.725559,356,50.857142857142854,1,0,0.0,0.6931471805599453,1.6094379124341003,1.0986122886681098,0.0,0.0,2.721849099735631,2.1662565348040834,0.36494735410922824,-0.14766683779622344,-0.30011953621213994,-0.9581052995050336,-0.7081974910453573,0.13698100930235652,4.368668282614672,1.424005297632587,0.0,-0.4566296511374095,-0.5043976220510383,-0.6355026197317463,-0.6538321896277431,-0.035757917440684045,-0.8306683413373118,-1.3656045469906848,0.7142857142857143,0.375,0.42857142857142855,0.25,0.0,0.1111111111111111,1.0,0.6666666666666666,0.0,0.0,0.0,0.1879806004576774,0.23950034921793056,0.25679011914249406,0.2512768130745659,0.1758241758241758
3dmax-vs-falcons-m3-nuke,15,T,ct_killed,134274.0,7,2,0.2857142857142857,5,0,2,0,2,0,0,0,20.16511962857143,41.065567,3.2228224,471,67.28571428571429,1,0,0.0,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,3.0523545261455,1.4405037196566075,0.36494735410922824,-0.6718841119728165,-0.8385903592910593,0.35851682175027055,-0.7081974910453573,0.7090781658004337,-0.4032616876259697,1.424005297632587,0.0,-0.4566296511374095,-0.5043976220510383,0.5173205516195722,1.2490674856091877,-1.0127418666304269,-0.30355191893744005,-0.6802605037165604,0.7142857142857143,0.25,0.2857142857142857,0.625,0.0,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.0,0.4052025166011598,0.6917414260144663,0.06156465767944286,0.3687436159346272,0.3346182613198321
3dmax-vs-falcons-m3-nuke,16,T,bomb_exploded,140381.0,6,2,0.3333333333333333,6,0,0,0,1,0,0,2,11.002193916666664,16.134838,2.9693115,326,54.333333333333336,1,0,0.0,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,2.4850894594661814,1.3785926539664295,-0.22394496729429908,-0.6718841119728165,-0.6591000849314195,0.7973908621687053,-0.7081974910453573,-0.43511614719572067,-0.4032616876259697,0.32504468750309057,0.0,-0.4566296511374095,2.4799549750842718,-1.2560154302804702,-1.6615804020949012,-1.0677475447872717,-0.9681769732677131,-1.2205897204428264,0.5714285714285714,0.25,0.3333333333333333,0.75,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.07105982279758377,0.0,0.05057316809543888,0.2206332992849847,0.2094240837696335
3dmax-vs-falcons-m3-nuke,17,CT,bomb_defused,150769.0,8,7,0.875,5,1,1,1,0,0,0,0,12.7903279875,30.820177,3.4721992,996,124.5,0,1,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,2.623967475967615,1.497880278689016,0.9538396755127555,1.949202258910149,1.3826017859094832,0.35851682175027055,0.17394324341464915,0.13698100930235652,0.7897208049341907,-0.773915922626406,0.0,-0.4566296511374095,-0.5043976220510383,-0.9099510194176454,0.052924253608045944,-0.958633187277453,2.102849139844583,1.7065246209033236,0.8571428571428571,0.875,0.875,0.625,0.2,0.1111111111111111,0.25,0.0,0.0,0.0,0.0,0.13626737266715488,0.4074673204047044,0.07237690480448655,0.9050051072522982,0.8876359242851389
3dmax-vs-falcons-m3-nuke,18,T,ct_killed,157691.0,8,3,0.375,5,3,0,0,0,0,2,0,22.444781575,46.276657,4.9333706,659,82.375,1,0,1.3862943611198906,0.0,0.0,0.0,1.0986122886681098,0.0,3.1546479360127595,1.7805924495090815,0.9538396755127555,-0.14766683779622344,-0.5020460948667346,0.35851682175027055,1.9382247123346619,-0.43511614719572067,-0.4032616876259697,-0.773915922626406,0.0,4.17489966754203,-0.5043976220510383,0.9585122280857244,1.8574591656573682,-0.6415946545737843,0.5581688411597415,-0.050786898752827186,0.8571428571428571,0.375,0.375,0.625,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.48833452134408584,0.8363311340687203,0.13572901401771761,0.5607763023493362,0.48046717680225537
3dmax-vs-falcons-m3-nuke,19,CT,time_ran_out,166651.0,3,2,0.6666666666666666,2,1,0,0,1,0,0,0,20.176716966666664,40.213825,3.4922009,285,95.0,0,1,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,3.052902321863296,1.502342759829806,-1.990621931504881,-0.6718841119728165,0.597331835586059,-0.9581052995050336,0.17394324341464915,-0.43511614719572067,-0.4032616876259697,0.32504468750309057,0.0,-0.4566296511374095,-0.5043976220510383,0.519565028720573,1.1496271101123918,-0.9542933065354818,-1.1561054369059283,0.4758850997197877,0.14285714285714285,0.25,0.6666666666666666,0.25,0.2,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.40562543455487166,0.6681085340249695,0.0732441198915395,0.17875383043922372,0.6024969794603302
3dmax-vs-falcons-m3-nuke,20,T,ct_killed,176800.0,7,5,0.7142857142857143,4,2,0,0,2,0,1,0,20.2878902,50.940865,2.9693844,667,95.28571428571429,1,0,1.0986122886681098,0.0,0.0,1.0986122886681098,0.6931471805599453,0.0,3.0581383758266862,1.3786110197033012,0.36494735410922824,0.9007677105569628,0.776822109945699,-0.0803572186681642,1.0560839778746556,-0.43511614719572067,-0.4032616876259697,1.424005297632587,0.0,1.8591350082023104,-0.5043976220510383,0.5410808088428579,2.402002695171187,-1.0677317272664566,0.5948378096745153,0.4878041265593379,0.7142857142857143,0.625,0.7142857142857143,0.5,0.4,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.4096795680088394,0.9657467597870089,0.050576328825769123,0.5689479060265576,0.60525861572982
