match,round,winner,reason,tick,total_kills,headshot_kills,headshot_rate,rifle_kills,awp_kills,pistol_kills,smg_kills,smoke_kills,noscope_kills,wallbang_kills,assisted_kills,avg_kill_distance,max_kill_distance,min_kill_distance,total_damage,avg_damage_per_kill,t_win,ct_win
3dmax-vs-falcons-m2-ancient,17,CT,bomb_defused,141332.0,8,2,0.25,3,3,0,2,3,0,0,0,21.000405125,31.841879,10.694136,630,78.75,0,1
3dmax-vs-falcons-m2-ancient,18,CT,t_killed,144277.0,7,2,0.2857142857142857,5,1,0,1,0,0,0,1,18.44831,30.455599,9.489324,427,61.0,0,1
3dmax-vs-falcons-m2-ancient,19,CT,t_killed,152613.0,7,3,0.42857142857142855,4,2,0,0,0,0,0,0,20.442694714285714,29.856146,9.045255,834,119.14285714285714,0,1
3dmax-vs-falcons-m2-ancient,20,CT,bomb_defused,161930.0,6,2,0.3333333333333333,4,2,0,0,0,0,0,1,16.242255,27.261892,7.742592,504,84.0,0,1
3dmax-vs-falcons-m1-inferno,1,T,ct_killed,5976.0,7,5,0.7142857142857143,0,0,7,0,0,0,0,0,13.823716914285715,34.134018,4.190132,581,83.0,1,0
3dmax-vs-falcons-m1-inferno,2,T,ct_killed,14166.0,6,2,0.3333333333333333,1,0,1,3,3,0,0,2,14.486511833333333,21.27211,9.014861,206,34.333333333333336,1,0
3dmax-vs-falcons-m1-inferno,3,T,ct_killed,29262.0,5,4,0.8,4,0,0,1,1,0,1,0,22.277909100000002,34.924873,10.8089285,488,97.6,1,0
3dmax-vs-falcons-m1-inferno,4,CT,t_killed,33342.0,6,1,0.16666666666666666,6,0,0,0,0,0,0,0,21.0333465,24.931488,15.064547,196,32.666666666666664,0,1
3dmax-vs-falcons-m1-inferno,5,T,bomb_exploded,43850.0,4,2,0.5,4,0,0,0,0,0,0,0,23.107895,39.104523,10.204614,272,68.0,1,0
3dmax-vs-falcons-m1-inferno,6,T,ct_killed,53834.0,7,1,0.14285714285714285,5,2,0,0,1,0,0,0,13.138482499999999,17.36771,10.127707,501,71.57142857142857,1,0
3dmax-vs-falcons-m1-inferno,7,CT,bomb_defused,59772.0,7,4,0.5714285714285714,1,1,3,2,0,0,0,0,13.340558442857143,31.288227,3.1833906,646,92.28571428571429,0,1
3dmax-vs-falcons-m1-inferno,8,T,bomb_exploded,71129.0,8,4,0.5,8,0,0,0,0,0,0,0,14.6608355625,22.0181,9.495669,516,64.5,1,0
3dmax-vs-falcons-m1-inferno,9,T,bomb_exploded,80078.0,5,3,0.6,5,0,0,0,0,0,1,1,13.925687399999997,36.48159,5.352489,349,69.8,1,0
3dmax-vs-falcons-m1-inferno,10,CT,bomb_defused,88940.0,8,4,0.5,6,1,0,0,2,0,0,0,20.2063665,31.31655,14.54924,683,85.375,0,1
3dmax-vs-falcons-m1-inferno,11,CT,t_killed,95560.0,7,4,0.5714285714285714,6,1,0,0,2,0,0,0,16.032658485714286,33.730755,5.3045754,835,119.28571428571429,0,1
3dmax-vs-falcons-m1-inferno,12,T,ct_killed,100196.0,8,4,0.5,3,2,0,0,2,0,0,1,15.6909700625,37.93518,7.6626115,917,114.625,1,0
3dmax-vs-falcons-m1-inferno,13,CT,bomb_defused,120140.0,5,5,1.0,0,0,3,0,0,0,0,0,14.54644548,20.162159,5.7304344,619,123.8,0,1
3dmax-vs-falcons-m1-inferno,14,CT,t_killed,127322.0,5,5,1.0,4,0,1,0,0,0,0,0,19.4611362,22.351616,17.531902,600,120.0,0,1
3dmax-vs-falcons-m1-inferno,15,T,ct_killed,136987.0,8,6,0.75,8,0,0,0,0,0,0,0,20.005991075,35.03002,6.4542136,640,80.0,1,0
3dmax-vs-falcons-m1-inferno,16,T,bomb_exploded,147745.0,7,3,0.42857142857142855,6,0,0,0,0,0,0,0,19.191423000000004,30.55351,10.109137,444,63.42857142857143,1,0
3dmax-vs-falcons-m1-inferno,17,T,bomb_exploded,159599.0,6,6,1.0,6,0,0,0,1,0,0,0,19.214002833333335,33.00341,3.167424,775,129.16666666666666,1,0
3dmax-vs-falcons-m1-inferno,18,CT,t_killed,166283.0,7,5,0.7142857142857143,7,0,0,0,0,0,0,1,13.717957857142858,24.401785,8.27168,583,83.28571428571429,0,1
3dmax-vs-falcons-m1-inferno,19,T,bomb_exploded,176790.0,2,0,0.0,1,1,0,0,1,0,0,0,19.6527945,24.134481,15.171108,137,68.5,1,0
3dmax-vs-falcons-m1-inferno,20,CT,bomb_defused,186564.0,9,5,0.5555555555555556,8,0,0,0,0,0,0,0,14.618330144444444,27.130629,7.4507823,605,67.22222222222223,0,1
3dmax-vs-falcons-m1-inferno,21,T,ct_killed,198156.0,6,3,0.5,6,0,0,0,1,0,1,1,9.053577683333334,16.62656,1.9299128,406,67.66666666666667,1,0
3dmax-vs-falcons-m1-inferno,22,CT,t_killed,206177.0,7,5,0.7142857142857143,2,1,3,1,1,0,0,0,22.74783228571428,34.131584,5.849596,664,94.85714285714286,0,1
