match,round,item_rifle_used,item_awp_used,item_pistol_only,item_smg_used,item_shotgun_used,item_knife_kill,item_grenade_kill,item_high_headshot,item_perfect_headshot,item_multi_kill,item_dominant,item_quick_round,item_long_round,item_smoke_kill,item_wallbang,item_noscope,item_blind_kill,item_long_range,item_close_range,item_mixed_range,item_team_spread,item_carry_performance,item_t_win,item_ct_win,item_elimination,item_bomb_exploded,item_bomb_defused,item_time_out,item_map_inferno,item_map_mirage,item_map_dust2,item_map_overpass,item_map_train,item_map_nuke,item_map_ancient
sparta-vs-cybershoke-m1-dust2,4,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,6,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,7,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,8,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,9,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,10,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,11,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,12,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
sparta-vs-cybershoke-m1-dust2,13,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
