tick,winner,reason,winning_team,round_num,tick_start,tick_end,bomb_planted,bomb_defused,bomb_exploded,match_id,map_name,total_kills,headshot_kills,avg_kill_distance,kill_distance_std,max_kill_distance,total_damage,most_common_weapon,smoke_kills,wallbang_kills,noscope_kills,first_kill_tick,last_kill_tick,headshot_rate,kill_duration,kill_tempo,first_kill_attacker_name,first_kill_weapon,first_kill_headshot,awp_kills,t_win,ct_win,prev_t_win,prev_ct_win,t_win_streak,t_score,ct_score,score_diff
23915,T,bomb_exploded,T,4,14049,23915,True,False,True,ence-vs-1win-m1-train,de_train,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,1.0,0.0,2.0,2.0,1.0,1.0
31839,CT,t_killed,CT,5,23915,31839,False,False,False,ence-vs-1win-m1-train,de_train,8.0,2.0,21.976980625,8.96610981145644,42.77104,304.0,ak47,0.0,0.0,0.0,26513.0,31839.0,0.25,5326.0,1.5020653398422832,sdy,mp9,False,0.0,0,1,1.0,0.0,0.0,2.0,2.0,0.0
41197,CT,bomb_defused,CT,6,31839,41197,True,True,False,ence-vs-1win-m1-train,de_train,8.0,5.0,19.866964375,13.369929127295455,46.05944,859.0,ak47,0.0,0.0,0.0,39383.0,40622.0,0.625,1239.0,6.45682001614205,cronuss,ak47,True,2.0,0,1,0.0,1.0,0.0,2.0,3.0,-1.0
49819,CT,t_killed,CT,7,41197,49819,False,False,False,ence-vs-1win-m1-train,de_train,5.0,2.0,24.6777994,8.184120555453335,36.41352,268.0,m4a1_silencer,0.0,0.0,0.0,49116.0,49819.0,0.4,703.0,7.112375533428165,sdy,ak47,False,0.0,0,1,0.0,1.0,0.0,2.0,4.0,-2.0
57766,CT,t_killed,CT,8,49819,57766,False,False,False,ence-vs-1win-m1-train,de_train,5.0,3.0,23.6844178,8.566843901146076,35.961273,578.0,m4a1_silencer,0.0,0.0,0.0,52961.0,57766.0,0.6,4805.0,1.040582726326743,podi,awp,False,2.0,0,1,0.0,1.0,0.0,2.0,5.0,-3.0
66726,CT,time_ran_out,CT,9,57766,66726,False,False,False,ence-vs-1win-m1-train,de_train,5.0,4.0,16.00120462,7.937312315187857,28.60814,376.0,m4a1_silencer,2.0,1.0,0.0,61202.0,65972.0,0.8,4770.0,1.0482180293501049,sdy,ak47,True,0.0,0,1,0.0,1.0,0.0,2.0,6.0,-4.0
76988,CT,t_killed,CT,10,66726,76988,False,False,False,ence-vs-1win-m1-train,de_train,8.0,3.0,23.529562075,13.227376922403598,38.548878,653.0,ak47,0.0,0.0,0.0,66932.0,76988.0,0.375,10056.0,0.7955449482895784,HObbit,ak47,True,1.0,0,1,0.0,1.0,0.0,2.0,7.0,-5.0
86876,T,bomb_exploded,T,11,76988,86876,True,False,True,ence-vs-1win-m1-train,de_train,4.0,3.0,14.92571075,8.669145813843844,23.926746,353.0,ak47,3.0,0.0,0.0,83618.0,85498.0,0.75,1880.0,2.127659574468085,cronuss,ak47,True,0.0,1,0,0.0,1.0,1.0,3.0,7.0,-4.0
96624,CT,bomb_defused,CT,12,86876,96624,True,True,False,ence-vs-1win-m1-train,de_train,7.0,4.0,19.547080142857144,8.337104962319744,28.909897,795.0,m4a1,1.0,0.0,0.0,89657.0,95080.0,0.5714285714285714,5423.0,1.2907984510418586,sdy,m4a1,True,1.0,0,1,1.0,0.0,0.0,3.0,8.0,-5.0
104461,T,ct_killed,T,13,96624,104461,True,False,False,ence-vs-1win-m1-train,de_train,8.0,5.0,23.51312013375,12.123812567758206,38.38641,600.0,ak47,2.0,0.0,0.0,102190.0,104461.0,0.625,2271.0,3.522677234698371,cronuss,ak47,False,0.0,1,0,0.0,1.0,1.0,4.0,8.0,-4.0
109841,CT,t_killed,CT,14,104461,109841,False,False,False,ence-vs-1win-m1-train,de_train,5.0,5.0,29.9726918,13.254292175615493,44.302856,560.0,usp_silencer,2.0,0.0,0.0,109480.0,109841.0,1.0,361.0,13.850415512465373,lattykk,usp_silencer,True,0.0,0,1,1.0,0.0,0.0,4.0,9.0,-5.0
117587,CT,t_killed,CT,15,109841,117587,False,False,False,ence-vs-1win-m1-train,de_train,5.0,4.0,30.6605842,12.49196916192402,41.58678,402.0,m4a1_silencer,1.0,0.0,0.0,113608.0,117587.0,0.8,3979.0,1.2565971349585323,cronuss,famas,False,0.0,0,1,0.0,1.0,0.0,4.0,10.0,-6.0
124013,CT,t_killed,CT,16,117587,124013,False,False,False,ence-vs-1win-m1-train,de_train,5.0,2.0,9.30523754,6.33846982795349,18.93641,264.0,mp9,2.0,0.0,0.0,123486.0,124013.0,0.4,527.0,9.487666034155597,cronuss,mp9,False,0.0,0,1,0.0,1.0,0.0,4.0,11.0,-7.0
133374,T,ct_killed,T,17,124013,133374,True,False,False,ence-vs-1win-m1-train,de_train,9.0,5.0,21.945213044444444,10.241952077347376,31.596601,683.0,ak47,0.0,0.0,0.0,128283.0,133374.0,0.5555555555555556,5091.0,1.7678255745433118,Neityu,ak47,True,1.0,1,0,0.0,1.0,1.0,5.0,11.0,-6.0
140782,T,bomb_exploded,T,18,133374,140782,True,False,True,ence-vs-1win-m1-train,de_train,7.0,3.0,14.510708257142856,11.78028921200983,37.07886,681.0,awp,1.0,0.0,1.0,137609.0,140512.0,0.42857142857142855,2903.0,2.411298656562177,rigoN,galilar,True,3.0,1,0,1.0,0.0,2.0,6.0,11.0,-5.0
145760,T,ct_killed,T,19,140782,145760,False,False,False,ence-vs-1win-m1-train,de_train,8.0,5.0,12.510945775,7.926490651610034,23.027662,701.0,ak47,0.0,0.0,0.0,143928.0,145760.0,0.625,1832.0,4.366812227074235,lattykk,awp,False,1.0,1,0,1.0,0.0,3.0,7.0,11.0,-4.0
155113,CT,t_killed,CT,20,145760,155113,False,False,False,ence-vs-1win-m1-train,de_train,9.0,7.0,20.10786248888889,13.907492611512358,35.36737,960.0,ak47,3.0,0.0,0.0,151206.0,155113.0,0.7777777777777778,3907.0,2.303557716918352,lattykk,deagle,True,0.0,0,1,1.0,0.0,0.0,7.0,12.0,-5.0
164920,T,ct_killed,T,21,155113,164920,True,False,False,ence-vs-1win-m1-train,de_train,6.0,2.0,17.129848499999998,7.126893845217248,23.771414,210.0,ak47,2.0,1.0,0.0,162140.0,164920.0,0.3333333333333333,2780.0,2.158273381294964,rigoN,mac10,True,0.0,1,0,0.0,1.0,1.0,8.0,12.0,-4.0
175126,CT,bomb_defused,CT,22,164920,175126,True,True,False,ence-vs-1win-m1-train,de_train,8.0,3.0,15.9849516625,11.110790654910577,30.907024,437.0,ak47,1.0,0.0,0.0,167916.0,174210.0,0.375,6294.0,1.271051795360661,rigoN,ak47,True,0.0,0,1,1.0,0.0,0.0,8.0,13.0,-5.0
184144,CT,bomb_defused,CT,23,175126,184144,True,True,False,ence-vs-1win-m1-train,de_train,7.0,3.0,22.662599214285713,8.631105534824675,30.955496,474.0,ak47,1.0,0.0,0.0,178111.0,182911.0,0.42857142857142855,4800.0,1.4583333333333335,cronuss,ak47,False,0.0,0,1,0.0,1.0,0.0,8.0,14.0,-6.0
188302,CT,t_killed,CT,24,184144,188302,False,False,False,ence-vs-1win-m1-train,de_train,7.0,1.0,26.438607100000002,10.338382227432312,35.546593,439.0,awp,0.0,1.0,0.0,186771.0,188302.0,0.14285714285714285,1531.0,4.57217504898759,Neityu,tec9,False,2.0,0,1,0.0,1.0,0.0,8.0,15.0,-7.0
196892,CT,t_killed,CT,25,188302,196892,False,False,False,ence-vs-1win-m1-train,de_train,9.0,7.0,19.139366055555556,9.9014790268621,28.997147,760.0,ak47,3.0,0.0,0.0,194140.0,196892.0,0.7777777777777778,2752.0,3.2703488372093026,HObbit,m4a1_silencer,False,0.0,0,1,0.0,1.0,0.0,8.0,16.0,-8.0
207536,T,ct_killed,T,26,196892,207536,True,False,False,ence-vs-1win-m1-train,de_train,9.0,4.0,15.782236688888888,14.145706520160546,39.42854,659.0,ak47,0.0,0.0,0.0,203745.0,207536.0,0.4444444444444444,3791.0,2.374043787918755,Neityu,ak47,True,1.0,1,0,0.0,1.0,1.0,9.0,16.0,-7.0
213024,CT,bomb_defused,CT,27,207536,213024,True,True,False,ence-vs-1win-m1-train,de_train,7.0,2.0,21.524809714285713,13.005904255401207,45.368263,787.0,awp,1.0,1.0,0.0,210019.0,212858.0,0.2857142857142857,2839.0,2.4656569214512154,podi,awp,False,4.0,0,1,1.0,0.0,0.0,9.0,17.0,-8.0
219201,CT,t_killed,CT,28,213024,219201,False,False,False,ence-vs-1win-m1-train,de_train,7.0,3.0,19.429008142857146,11.020689764474643,35.300865,676.0,ak47,1.0,0.0,0.0,215406.0,219201.0,0.42857142857142855,3795.0,1.844532279314888,HObbit,ak47,True,3.0,0,1,0.0,1.0,0.0,9.0,18.0,-9.0
227088,CT,t_killed,CT,29,219201,227088,False,False,False,ence-vs-1win-m1-train,de_train,7.0,0.0,19.44642937142857,11.48460417986898,35.249588,485.0,awp,0.0,0.0,0.0,223045.0,227088.0,0.0,4043.0,1.7313875834776156,HObbit,ak47,False,3.0,0,1,0.0,1.0,0.0,9.0,19.0,-10.0
235511,CT,t_killed,CT,30,227088,235511,False,False,False,ence-vs-1win-m1-train,de_train,8.0,3.0,23.754900125,6.966759397740949,35.46779,546.0,ak47,1.0,1.0,0.0,229497.0,235511.0,0.375,6014.0,1.3302294645826405,podi,awp,False,2.0,0,1,0.0,1.0,0.0,9.0,20.0,-11.0
243795,T,ct_killed,T,31,235511,243795,False,False,False,ence-vs-1win-m1-train,de_train,8.0,4.0,15.4198220375,8.914384924683658,32.2806,628.0,ak47,0.0,0.0,0.0,241323.0,243795.0,0.5,2472.0,3.236245954692557,Neityu,m4a1_silencer,False,1.0,1,0,0.0,1.0,1.0,10.0,20.0,-10.0
252759,T,ct_killed,T,32,243795,252759,False,False,False,ence-vs-1win-m1-train,de_train,7.0,3.0,19.3024671,6.891163017234209,30.169184,611.0,ak47,0.0,0.0,0.0,246764.0,252759.0,0.42857142857142855,5995.0,1.1676396997497915,cronuss,ak47,False,2.0,1,0,1.0,0.0,2.0,11.0,20.0,-9.0
261518,T,ct_killed,T,33,252759,261518,True,False,False,ence-vs-1win-m1-train,de_train,9.0,4.0,19.84562681111111,7.737018229878278,29.304731,568.0,ak47,1.0,0.0,0.0,255289.0,261518.0,0.4444444444444444,6229.0,1.4448547118317547,cronuss,ak47,True,0.0,1,0,1.0,0.0,3.0,12.0,20.0,-8.0
