player_name,match_id,map_name,kills,deaths,kd_ratio,kills_per_round,deaths_per_round,headshot_kills,headshot_percentage,total_damage_dealt,avg_damage_per_kill,damage_per_round,armor_damage_dealt,opening_kills,first_blood_kills,opening_kill_rate,first_blood_rate,entry_fragger_score,opening_deaths,opening_death_rate,survival_vs_aggression_ratio,rounds_with_2k,rounds_with_3k,rounds_with_4k,rounds_with_5k,multi_kill_rate,high_impact_rounds,avg_kill_distance,min_kill_distance,max_kill_distance,kill_distance_std,close_range_kills,mid_range_kills,long_range_kills,engagement_range_preference,rifle_kills,awp_kills,pistol_kills,smg_kills,weapon_diversity,primary_weapon_type,headshot_weapon_skill,thrusmoke_kills,noscope_kills,penetration_kills,assists,assist_per_round,flash_assists,support_score,kill_consistency,performance_variance,max_kills_in_round,rounds_with_zero_kills,zero_kill_round_rate
interz,ence-vs-1win-m1-train,de_train,15,21,0.7142857142857143,0.42857142857142855,0.6,8,53.333333333333336,1078,71.86666666666666,30.8,104,11,0,0.3142857142857143,0.0,0.3142857142857143,4,0.11428571428571428,2.75,4,0,0,0,0.11428571428571428,0.0,16.182673066666666,3.610272,29.319857,8.823294878448296,15,0,0,close,13,0,2,0,4,rifle,0.5333333333333333,1,0,0,8,0.22857142857142856,1,9.5,0.6646616133896777,0.504524979109513,2,24,0.6857142857142857
myltsi,ence-vs-1win-m1-train,de_train,22,22,1.0,0.6285714285714286,0.6285714285714286,11,50.0,1587,72.13636363636364,45.34285714285714,133,14,0,0.4,0.0,0.4,1,0.02857142857142857,14.000000000000002,7,1,0,0,0.2,0.05714285714285714,21.08616801818182,2.9277642,36.41352,11.69209645616774,22,0,0,close,19,2,1,0,5,rifle,0.5,3,0,1,6,0.17142857142857143,4,12.0,0.6074573261894977,0.646206172658864,3,21,0.6
Neityu,ence-vs-1win-m1-train,de_train,18,26,0.6923076923076923,0.5142857142857142,0.7428571428571429,9,50.0,1230,68.33333333333333,35.142857142857146,133,14,5,0.4,0.14285714285714285,0.6857142857142857,5,0.14285714285714285,2.8000000000000003,4,0,0,0,0.11428571428571428,0.0,15.75291638888889,1.8977054,38.548878,11.940312095157886,18,0,0,close,16,0,2,0,4,rifle,0.5,2,0,1,13,0.37142857142857144,0,13.0,0.6808245349943228,0.46880723093849547,2,21,0.6
lattykk,ence-vs-1win-m1-train,de_train,28,21,1.3333333333333333,0.8,0.6,10,35.714285714285715,3405,121.60714285714286,97.28571428571429,64,17,4,0.4857142857142857,0.11428571428571428,0.7142857142857143,1,0.02857142857142857,17.0,8,3,0,0,0.22857142857142856,0.17142857142857143,29.518380589285716,3.1683445,46.417233,11.17360932466651,28,0,0,close,2,19,7,0,5,awp,0.35714285714285715,7,1,1,5,0.14285714285714285,1,6.5,0.5599401206327096,0.7859052479933758,3,18,0.5142857142857142
podi,ence-vs-1win-m1-train,de_train,24,20,1.2,0.6857142857142857,0.5714285714285714,10,41.66666666666667,2754,114.75,78.68571428571428,89,17,3,0.4857142857142857,0.08571428571428572,0.6571428571428571,1,0.02857142857142857,17.0,5,2,0,0,0.14285714285714285,0.11428571428571428,20.243084808333336,4.735708,35.961273,9.564463848498406,24,0,0,close,11,11,2,0,5,rifle,0.4166666666666667,1,0,2,4,0.11428571428571428,1,5.5,0.5840142043806167,0.7122871199007256,3,18,0.5142857142857142
HObbit,ence-vs-1win-m1-train,de_train,21,22,0.9545454545454546,0.6,0.6285714285714286,10,47.61904761904761,1318,62.76190476190476,37.65714285714286,166,16,4,0.45714285714285713,0.11428571428571428,0.6857142857142857,3,0.08571428571428572,5.333333333333333,5,0,0,0,0.14285714285714285,0.0,19.70516746666667,3.4874203,31.973742,8.723839505576557,21,0,0,close,20,0,1,0,4,rifle,0.47619047619047616,7,0,0,13,0.37142857142857144,2,16.0,0.6762634976715645,0.47871355387816905,2,19,0.5428571428571428
rigoN,ence-vs-1win-m1-train,de_train,21,28,0.75,0.6,0.8,14,66.66666666666666,1499,71.38095238095238,42.82857142857143,195,14,4,0.4,0.11428571428571428,0.6285714285714286,5,0.14285714285714285,2.8000000000000003,5,1,1,0,0.14285714285714285,0.14285714285714285,19.010331933333333,1.1765836,29.304731,8.189734593882733,21,0,0,close,17,0,2,0,7,rifle,0.6666666666666666,1,0,0,8,0.22857142857142856,0,8.0,0.5391270327295902,0.8548504142651103,4,21,0.6
oz1k,ence-vs-1win-m1-train,de_train,24,22,1.0909090909090908,0.6857142857142857,0.6285714285714286,14,58.333333333333336,1864,77.66666666666667,53.25714285714286,182,18,0,0.5142857142857142,0.0,0.5142857142857142,3,0.08571428571428572,5.999999999999999,6,0,0,0,0.17142857142857143,0.0,16.531222908333334,3.6925683,28.909897,7.560215653794871,24,0,0,close,21,0,3,0,6,rifle,0.5833333333333334,1,0,0,2,0.05714285714285714,0,2.0,0.6733683652895907,0.48507125007266594,2,17,0.4857142857142857
cronuss,ence-vs-1win-m1-train,de_train,31,23,1.3478260869565217,0.8857142857142857,0.6571428571428571,18,58.06451612903226,2113,68.16129032258064,60.371428571428574,256,20,9,0.5714285714285714,0.2571428571428571,1.0857142857142856,5,0.14285714285714285,4.0,8,2,1,0,0.22857142857142856,0.2,13.656787202258066,0.88887507,41.58678,9.847530906509498,31,0,0,close,24,0,2,5,6,rifle,0.5806451612903226,6,0,0,10,0.2857142857142857,0,10.0,0.5477717351808209,0.8255779474818966,4,15,0.42857142857142855
sdy,ence-vs-1win-m1-train,de_train,24,23,1.0434782608695652,0.6857142857142857,0.6571428571428571,10,41.66666666666667,1456,60.666666666666664,41.6,185,15,4,0.42857142857142855,0.11428571428571428,0.6571428571428571,5,0.14285714285714285,3.0,4,4,1,0,0.11428571428571428,0.3142857142857143,23.142848775,6.4042816,46.05944,10.746688511267953,24,0,0,close,19,1,1,2,7,rifle,0.4166666666666667,1,0,0,12,0.34285714285714286,6,21.0,0.48647660095558304,1.055597325823495,4,20,0.5714285714285714
