player_name,match_id,map_name,kills,deaths,kd_ratio,kills_per_round,headshot_percentage,avg_kill_distance,opening_kills,opening_kill_rate,rounds_with_2k,rounds_with_3k,multi_kill_rate,awp_kills,rifle_kills,assists,assist_per_round
lattykk,ence-vs-1win-m1-train,de_train,28,21,1.3333333333333333,0.8,35.714285714285715,29.518380589285716,4,0.11428571428571428,8,3,0.22857142857142856,18,2,5,0.14285714285714285
rigoN,ence-vs-1win-m1-train,de_train,21,28,0.75,0.6,66.66666666666666,19.010331933333333,4,0.11428571428571428,5,1,0.14285714285714285,0,17,8,0.22857142857142856
myltsi,ence-vs-1win-m1-train,de_train,22,22,1.0,0.6285714285714286,50.0,21.08616801818182,0,0.0,7,1,0.2,2,19,6,0.17142857142857143
⑳ ✓ ★ Ceruttera,fake-do-biru-vs-oddik-m1-dust2,de_dust2,21,30,0.7,1.0,42.857142857142854,19.207450614285715,2,0.09523809523809523,3,2,0.14285714285714285,0,16,3,0.14285714285714285
⑳ ✓ detr0ittJ,fake-do-biru-vs-oddik-m1-dust2,de_dust2,46,22,2.090909090909091,2.1904761904761907,50.0,27.846318176086953,3,0.14285714285714285,6,3,0.2857142857142857,20,17,14,0.6666666666666666
⑲ ✓ PKL,fake-do-biru-vs-oddik-m1-dust2,de_dust2,28,23,1.2173913043478262,1.3333333333333333,57.14285714285714,20.3547134,3,0.14285714285714285,6,1,0.2857142857142857,1,25,11,0.5238095238095238
⑳ ⦻ ksloks,fake-do-biru-vs-oddik-m1-dust2,de_dust2,28,40,0.7,1.3333333333333333,46.42857142857143,22.67257984285714,1,0.047619047619047616,3,2,0.14285714285714285,8,10,10,0.47619047619047616
⑳ ⦻ ★ woody,fake-do-biru-vs-oddik-m1-dust2,de_dust2,21,24,0.875,1.0,19.047619047619047,34.910513095238095,1,0.047619047619047616,2,1,0.09523809523809523,17,1,11,0.5238095238095238
⑳ ⦻ naitte,fake-do-biru-vs-oddik-m1-dust2,de_dust2,27,41,0.6585365853658537,1.2857142857142858,59.25925925925925,18.291576425925925,3,0.14285714285714285,5,3,0.23809523809523808,2,16,5,0.23809523809523808
⑳ 🜲 ★ coldzeraa,fake-do-biru-vs-oddik-m1-dust2,de_dust2,18,20,0.9,0.8571428571428571,61.111111111111114,16.595757446666667,0,0.0,4,1,0.19047619047619047,0,12,4,0.19047619047619047
⑳ 🜲 hardzao,fake-do-biru-vs-oddik-m1-dust2,de_dust2,53,25,2.12,2.5238095238095237,73.58490566037736,14.75928255471698,1,0.047619047619047616,5,2,0.23809523809523808,6,21,7,0.3333333333333333
⑳ ✓ xureba,fake-do-biru-vs-oddik-m1-dust2,de_dust2,19,22,0.8636363636363636,0.9047619047619048,57.89473684210527,22.00598757368421,2,0.09523809523809523,2,1,0.09523809523809523,2,15,6,0.2857142857142857
⑳ ✓ lukiz,fake-do-biru-vs-oddik-m1-dust2,de_dust2,37,22,1.6818181818181819,1.7619047619047619,64.86486486486487,28.547111918918915,6,0.2857142857142857,5,3,0.23809523809523808,7,16,6,0.2857142857142857
⑳ naitte,fake-do-biru-vs-oddik-m2-train,de_train,32,87,0.367816091954023,1.6,59.375,15.418013196874998,6,0.3,5,3,0.25,0,20,4,0.2
⑳ Ceruttera,fake-do-biru-vs-oddik-m2-train,de_train,14,21,0.6666666666666666,0.7,64.28571428571429,17.364742771428574,2,0.1,5,0,0.25,1,8,4,0.2
⑳ ksloks,fake-do-biru-vs-oddik-m2-train,de_train,26,39,0.6666666666666666,1.3,61.53846153846154,16.090625592307692,3,0.15,5,3,0.25,0,16,6,0.3
⑳ xureba,fake-do-biru-vs-oddik-m2-train,de_train,26,21,1.2380952380952381,1.3,53.84615384615385,13.988102933076924,1,0.05,3,1,0.15,0,16,6,0.3
⑳ coldzeraa,fake-do-biru-vs-oddik-m2-train,de_train,13,10,1.3,0.65,53.84615384615385,23.83890607692308,0,0.0,2,1,0.1,0,9,8,0.4
⑲ PKL,fake-do-biru-vs-oddik-m2-train,de_train,9,21,0.42857142857142855,0.45,44.44444444444444,14.143682663333331,0,0.0,1,1,0.05,0,6,4,0.2
⑳ woody,fake-do-biru-vs-oddik-m2-train,de_train,16,15,1.0666666666666667,0.8,31.25,17.13500873125,3,0.15,4,1,0.2,8,3,4,0.2
⑳ lukiz,fake-do-biru-vs-oddik-m2-train,de_train,11,22,0.5,0.55,72.72727272727273,21.367029499999997,1,0.05,1,1,0.05,0,6,5,0.25
⑳ hardzao,fake-do-biru-vs-oddik-m2-train,de_train,88,20,4.4,4.4,86.36363636363636,10.252615482954546,1,0.05,4,1,0.2,3,45,6,0.3
⑳ detr0ittJ,fake-do-biru-vs-oddik-m2-train,de_train,81,18,4.5,4.05,76.5432098765432,15.75212030617284,3,0.15,7,3,0.35,13,58,8,0.4
reV3nnn,kaleido-vs-arise-m2-inferno,de_inferno,6,16,0.375,0.3157894736842105,33.33333333333333,11.30250255,0,0.0,0,0,0.0,4,1,1,0.05263157894736842
suki,kaleido-vs-arise-m2-inferno,de_inferno,22,8,2.75,1.1578947368421053,68.18181818181817,16.06472451818182,1,0.05263157894736842,7,2,0.3684210526315789,0,17,0,0.0
SPine,kaleido-vs-arise-m2-inferno,de_inferno,12,13,0.9230769230769231,0.631578947368421,58.333333333333336,15.937726225,1,0.05263157894736842,3,1,0.15789473684210525,1,9,1,0.05263157894736842
rubeN,kaleido-vs-arise-m2-inferno,de_inferno,13,8,1.625,0.6842105263157895,46.15384615384615,18.241655923076923,1,0.05263157894736842,3,1,0.15789473684210525,1,10,4,0.21052631578947367
Rage,kaleido-vs-arise-m2-inferno,de_inferno,19,11,1.7272727272727273,1.0,52.63157894736842,18.571933505263157,8,0.42105263157894735,4,2,0.21052631578947367,10,4,6,0.3157894736842105
