player_name,cluster,role,num_matches,kd_ratio_mean,kills_per_round_mean,entry_fragger_score_mean,support_score_mean
⑲ PKL,1,Support Player,1,0.4285714285714285,0.45,0.25,5.5
⑲ ✓ PKL,0,Entry Fragger,1,1.2173913043478262,1.3333333333333333,1.0,14.0
⑳ Ceruttera,1,Support Player,1,0.6666666666666666,0.7,0.65,4.0
⑳ coldzeraa,1,Support Player,1,1.3,0.65,0.5,11.0
⑳ detr0ittJ,0,Entry Fragger,1,4.5,4.05,1.0,9.5
⑳ hardzao,0,Entry Fragger,1,4.4,4.4,0.55,7.5
⑳ ksloks,0,Entry Fragger,1,0.6666666666666666,1.3,0.9,12.0
⑳ lukiz,1,Support Player,1,0.5,0.55,0.35,5.0
⑳ naitte,0,Entry Fragger,1,0.367816091954023,1.6,1.1,4.0
⑳ woody,1,Support Player,1,1.0666666666666669,0.8,0.85,5.5
⑳ xureba,0,Entry Fragger,1,1.238095238095238,1.3,0.55,6.0
⑳ ✓ detr0ittJ,0,Entry Fragger,1,2.090909090909091,2.1904761904761907,0.9523809523809524,17.0
⑳ ✓ lukiz,0,Entry Fragger,1,1.681818181818182,1.761904761904762,1.0,7.5
⑳ ✓ xureba,1,Support Player,1,0.8636363636363636,0.9047619047619048,0.6666666666666666,6.0
⑳ ✓ ★ Ceruttera,1,Support Player,1,0.7,1.0,0.6666666666666666,3.0
⑳ ⦻ ksloks,0,Entry Fragger,1,0.7,1.3333333333333333,0.4285714285714285,10.0
⑳ ⦻ naitte,0,Entry Fragger,1,0.6585365853658537,1.2857142857142858,0.6190476190476191,5.0
⑳ ⦻ ★ woody,1,Support Player,1,0.875,1.0,0.4761904761904761,17.0
⑳ 🜲 hardzao,0,Entry Fragger,1,2.12,2.5238095238095237,0.6666666666666666,7.0
⑳ 🜲 ★ coldzeraa,1,Support Player,1,0.9,0.8571428571428571,0.3809523809523809,4.0
