player_name,cluster,role,num_matches,kd_ratio,kills_per_round,opening_kill_rate,multi_kill_rate
acoR,0,Entry Fragger,1,0.8333333333333334,0.5714285714285714,0.22857142857142856,0.08571428571428572
alex ,1,Balanced Player,2,0.4444444444444444,0.26666666666666666,0.03333333333333333,0.06666666666666667
alpha--,0,Entry Fragger,1,1.2307692307692308,0.6956521739130435,0.21739130434782608,0.21739130434782608
alxc,1,Balanced Player,1,0.84,0.6,0.11428571428571428,0.22857142857142856
bl1x1,1,Balanced Player,1,1.1333333333333333,0.7391304347826086,0.13043478260869565,0.17391304347826086
bluewh1te,1,Balanced Player,1,1.1428571428571428,0.6666666666666666,0.08333333333333333,0.08333333333333333
clouda,1,Balanced Player,1,0.5294117647058824,0.47368421052631576,0.05263157894736842,0.0
cronuss,1,Balanced Player,1,1.3478260869565217,0.8857142857142857,0.2571428571428571,0.22857142857142856
dav1g,1,Balanced Player,2,0.36363636363636365,0.26666666666666666,0.03333333333333333,0.06666666666666667
executor,1,Balanced Player,1,1.3571428571428572,0.7916666666666666,0.125,0.2916666666666667
expSasiKi,1,Balanced Player,1,1.0909090909090908,0.631578947368421,0.15789473684210525,0.05263157894736842
glowiing,1,Balanced Player,1,1.3571428571428572,0.8260869565217391,0.13043478260869565,0.2608695652173913
interz,1,Balanced Player,1,0.7142857142857143,0.42857142857142855,0.0,0.11428571428571428
k4nfuz-,1,Balanced Player,1,0.6666666666666666,0.43478260869565216,0.0,0.08695652173913043
kinqie44,1,Balanced Player,1,0.8333333333333334,0.625,0.16666666666666666,0.20833333333333334
lasfas,0,Entry Fragger,2,1.3681318681318682,0.7196969696969697,0.09545454545454546,0.17424242424242425
lattykk,0,Entry Fragger,1,1.3333333333333333,0.8,0.11428571428571428,0.22857142857142856
mopoz,1,Balanced Player,2,0.5833333333333334,0.4583333333333333,0.15833333333333333,0.06666666666666667
myltsi,1,Balanced Player,1,1.0,0.6285714285714286,0.0,0.2
notineki,1,Balanced Player,1,0.75,0.5217391304347826,0.043478260869565216,0.17391304347826086
nut nut,1,Balanced Player,1,1.1428571428571428,0.6857142857142857,0.02857142857142857,0.2
ottob,0,Entry Fragger,1,1.3888888888888888,0.7142857142857143,0.11428571428571428,0.2
oz1k,1,Balanced Player,1,1.0909090909090908,0.6857142857142857,0.0,0.17142857142857143
p3kko,1,Balanced Player,1,0.6,0.42857142857142855,0.08571428571428572,0.08571428571428572
paz,1,Balanced Player,2,0.8666666666666667,0.6409090909090909,0.12424242424242424,0.06212121212121212
podi,0,Entry Fragger,1,1.2,0.6857142857142857,0.08571428571428572,0.14285714285714285
puuha,1,Balanced Player,1,0.84,0.6,0.05714285714285714,0.14285714285714285
reV3nnn,1,Balanced Player,1,0.375,0.3157894736842105,0.0,0.0
rigoN,1,Balanced Player,1,0.75,0.6,0.11428571428571428,0.14285714285714285
riskyb0b,1,Balanced Player,1,0.7857142857142857,0.4583333333333333,0.041666666666666664,0.125
rubeN,1,Balanced Player,1,1.625,0.6842105263157895,0.05263157894736842,0.15789473684210525
sausoL,1,Balanced Player,2,0.6923076923076923,0.5416666666666666,0.0,0.125
sdy,1,Balanced Player,1,1.0434782608695652,0.6857142857142857,0.11428571428571428,0.11428571428571428
shield,0,Entry Fragger,2,1.0341880341880343,0.6166666666666667,0.11212121212121212,0.11212121212121212
sirah,1,Balanced Player,1,1.0416666666666667,0.7142857142857143,0.17142857142857143,0.14285714285714285
soulfly,1,Balanced Player,2,0.7121212121212122,0.5575757575757576,0.12878787878787878,0.06818181818181818
suki,1,Balanced Player,1,2.75,1.1578947368421053,0.05263157894736842,0.3684210526315789
torzsi,1,Balanced Player,2,0.8125,0.43333333333333335,0.06666666666666667,0.06666666666666667
turbo,1,Balanced Player,2,0.6031746031746031,0.3696969696969697,0.08939393939393939,0.09545454545454546
