player_name,match_id,cluster
bluewh1te,nemiga-vs-tpudcatb-tpu-m1-dust2,0
z1Nny,nemiga-vs-tpudcatb-tpu-m1-dust2,0
riskyb0b,nemiga-vs-tpudcatb-tpu-m1-dust2,0
-khaN,nemiga-vs-tpudcatb-tpu-m1-dust2,0
kinqie44,nemiga-vs-tpudcatb-tpu-m1-dust2,0
1eeR,nemiga-vs-tpudcatb-tpu-m1-dust2,0
Xant3r,nemiga-vs-tpudcatb-tpu-m1-dust2,0
Djon8,sparta-vs-cybershoke-m1-dust2,0
SoLb,sparta-vs-cybershoke-m1-dust2,0
glowiing,sparta-vs-cybershoke-m1-dust2,0
1NVISIBLEE,sparta-vs-cybershoke-m1-dust2,0
notineki,sparta-vs-cybershoke-m1-dust2,0
FenomeN--,sparta-vs-cybershoke-m1-dust2,0
bl1x1,sparta-vs-cybershoke-m1-dust2,0
alpha--,sparta-vs-cybershoke-m1-dust2,0
yuramyata,sparta-vs-cybershoke-m1-dust2,0
k4nfuz-,sparta-vs-cybershoke-m1-dust2,0
Banjo,vpprodigy-vs-fire-flux-m1-mirage,0
AquaRS,vpprodigy-vs-fire-flux-m1-mirage,0
FinigaN,vpprodigy-vs-fire-flux-m1-mirage,0
lasfas,vpprodigy-vs-fire-flux-m1-mirage,0
paz,vpprodigy-vs-fire-flux-m1-mirage,0
shield,vpprodigy-vs-fire-flux-m1-mirage,0
soulfly,vpprodigy-vs-fire-flux-m1-mirage,0
TriBorgg1,vpprodigy-vs-fire-flux-m1-mirage,0
F0R3VER,vpprodigy-vs-fire-flux-m1-mirage,0
turbo,vpprodigy-vs-fire-flux-m1-mirage,0
Banjo,vpprodigy-vs-fire-flux-m2-train,0
AquaRS,vpprodigy-vs-fire-flux-m2-train,0
FinigaN,vpprodigy-vs-fire-flux-m2-train,0
paz,vpprodigy-vs-fire-flux-m2-train,0
TriBorgg1,vpprodigy-vs-fire-flux-m2-train,0
shield,vpprodigy-vs-fire-flux-m2-train,0
soulfly,vpprodigy-vs-fire-flux-m2-train,0
lasfas,vpprodigy-vs-fire-flux-m2-train,0
F0R3VER,vpprodigy-vs-fire-flux-m2-train,0
turbo,vpprodigy-vs-fire-flux-m2-train,0
